,IDENTIFIER,LATEST ADMISSION DATE,RACE,GENDER,OFFENSE,Year
215,ZZHSCLSB,01/17/2018,WHITE,M,OTHERS,2018
216,ZZHCBZEB,01/17/2018,WHITE,M,OTHERS,2018
217,ZZSZZSSC,01/17/2018,BLACK,M,OTHERS,2018
218,ZZHZWRHC,01/17/2018,HISPANIC,M,OTHERS,2018
219,ZZEHSEZB,01/05/2018,BLACK,M,OTHERS,2018
220,ZZSRSEHL,01/17/2018,WHITE,M,OTHERS,2018
221,ZZEJHBSJ,01/17/2018,WHITE,M,OTHERS,2018
222,ZZHSCBCJ,01/18/2018,WHITE,M,OTHERS,2018
223,ZZRHZCZL,01/18/2018,WHITE,M,OTHERS,2018
224,ZZSRSELS,01/18/2018,BLACK,F,OTHERS,2018
225,ZZSRSESB,01/18/2018,WHITE,M,OTHERS,2018
226,ZZRLCSSW,01/18/2018,HISPANIC,M,OTHERS,2018
227,ZZSRSEWB,01/18/2018,HISPANIC,M,OTHERS,2018
228,ZZSEEEJL,01/18/2018,HISPANIC,M,VIOLATION OF PROBATION OR COND DISCHG,2018
229,ZZHBLWJS,01/18/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018
230,ZZSEBWRZ,01/10/2018,HISPANIC,M,OTHERS,2018
231,ZZSRSELW,01/18/2018,BLACK,F,OTHERS,2018
232,ZZSEHSSB,01/18/2018,HISPANIC,M,VIOLATION OF PROBATION OR COND DISCHG,2018
233,ZZHERSHB,01/18/2018,HISPANIC,M,OTHERS,2018
234,ZZHHSZSL,01/18/2018,WHITE,M,OTHERS,2018
235,ZZSRSEWL,01/18/2018,BLACK,M,OTHERS,2018
236,ZZSRSEWC,01/18/2018,HISPANIC,M,OTHERS,2018
237,ZZSRSESJ,01/18/2018,WHITE,M,OTHERS,2018
238,ZZRHWEBW,01/18/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018
239,ZZHSWZEW,01/18/2018,WHITE,F,VIOLATION OF PROBATION OR COND DISCHG,2018
240,ZZHBLRZH,01/18/2018,WHITE,F,OTHERS,2018
241,ZZRZWWHJ,01/18/2018,WHITE,M,OTHERS,2018
242,ZZSRSECB,01/19/2018,WHITE,M,OTHERS,2018
243,ZZSZESJR,01/19/2018,BLACK,M,OTHERS,2018
244,ZZSRSECH,01/19/2018,WHITE,M,OTHERS,2018
245,ZZHZSREL,01/19/2018,WHITE,M,OTHERS,2018
246,ZZHLEHBC,01/19/2018,BLACK,M,"ASSAULT, THIRD DEGREE                 AM",2018
247,ZZSRSECW,01/19/2018,HISPANIC,M,OTHERS,2018
248,ZZSZCZHR,01/19/2018,HISPANIC,M,OTHERS,2018
249,ZZRCCEBS,01/19/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018
250,ZZSEEBRS,01/19/2018,HISPANIC,M,VIOLATION OF PROBATION OR COND DISCHG,2018
251,ZZSRSEBL,01/19/2018,HISPANIC,F,OTHERS,2018
252,ZZHJEZJH,01/19/2018,BLACK,M,OTHERS,2018
253,ZZHJJCRH,01/19/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018
254,ZZHLEZWC,01/19/2018,WHITE,M,OTHERS,2018
255,ZZHWRLRS,01/19/2018,WHITE,M,OTHERS,2018
256,ZZHBJRBZ,01/19/2018,WHITE,M,OTHERS,2018
257,ZZRSLHCL,01/19/2018,WHITE,M,OTHERS,2018
258,ZZHBHEEW,01/19/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018
259,ZZSEJRBW,01/19/2018,BLACK,M,OTHERS,2018
260,ZZHSLJEB,01/16/2018,BLACK,M,OTHERS,2018
261,ZZHWLWRZ,01/19/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018
262,ZZSZECRC,01/19/2018,HISPANIC,M,OTHERS,2018
263,ZZSRSRER,01/22/2018,WHITE,M,OTHERS,2018
264,ZZSRSEJW,01/22/2018,HISPANIC,M,OTHERS,2018
265,ZZEJSJSH,01/22/2018,WHITE,M,OTHERS,2018
266,ZZSRSEJL,01/22/2018,WHITE,M,OTHERS,2018
267,ZZRHJCZB,01/22/2018,BLACK,M,OTHERS,2018
268,ZZEHZJWR,01/22/2018,WHITE,M,OTHERS,2018
269,ZZSREZZW,01/22/2018,HISPANIC,M,OTHERS,2018
270,ZZSRSEJB,01/22/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018
271,ZZSEWJCS,01/22/2018,WHITE,M,OTHERS,2018
272,ZZHBLWJS,01/18/2018,BLACK,M,OTHERS,2018
273,ZZHSHERR,01/19/2018,WHITE,F,VIOLATION OF PROBATION OR COND DISCHG,2018
274,ZZRWLZZH,01/22/2018,HISPANIC,M,OTHERS,2018
275,ZZHZWJEL,01/02/2018,BLACK,M,OTHERS,2018
276,ZZHCHBZZ,01/22/2018,BLACK,M,OTHERS,2018
277,ZZRBRZLJ,01/22/2018,HISPANIC,M,OTHERS,2018
278,ZZSRSREE,01/22/2018,HISPANIC,M,OTHERS,2018
