,IDENTIFIER,LATEST ADMISSION DATE,RACE,GENDER,OFFENSE,Year
10421,ZZHCRCES,08/24/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018
10422,ZZHBSZJW,08/24/2018,WHITE,M,OTHERS,2018
10423,ZZHESZCL,08/24/2018,BLACK,M,OTHERS,2018
10424,ZZSZHWBH,08/24/2018,HISPANIC,M,VIOLATION OF PROBATION OR COND DISCHG,2018
10425,ZZHWHELE,08/24/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018
10426,ZZSEHLCJ,08/24/2018,BLACK,M,"ASSAULT, THIRD DEGREE                 AM",2018
10427,ZZSRCRWH,08/24/2018,WHITE,M,OTHERS,2018
10428,ZZSRCRLH,08/24/2018,WHITE,F,OTHERS,2018
10429,ZZSRCRWE,08/24/2018,WHITE,M,OTHERS,2018
10430,ZZHBSECL,08/24/2018,WHITE,M,OTHERS,2018
10431,ZZSRCRLC,08/24/2018,BLACK,M,OTHERS,2018
10432,ZZHRHBCL,08/24/2018,WHITE,M,OTHERS,2018
10433,ZZRSLZCL,08/24/2018,BLACK,M,CRIMINAL POSSESSION OF A PISTOL       DF,2018
10434,ZZHBSCHR,08/24/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018
10435,ZZHWLWWC,08/25/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018
10436,ZZSRCRCZ,08/25/2018,HISPANIC,M,OTHERS,2018
10437,ZZHRSSCH,08/25/2018,WHITE,M,OTHERS,2018
10438,ZZSRCRLJ,08/25/2018,WHITE,F,OTHERS,2018
10439,ZZHCSBRE,08/26/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018
10440,ZZERELWL,08/27/2018,HISPANIC,M,VIOLATION OF PROBATION OR COND DISCHG,2018
10441,ZZHJESJB,08/27/2018,HISPANIC,M,OTHERS,2018
10442,ZZRHJLLS,08/27/2018,BLACK,M,"FAILURE TO APPEAR, SECOND DEGREE      AM",2018
10443,ZZSEEECH,08/27/2018,HISPANIC,M,VIOLATION OF PROBATION OR COND DISCHG,2018
10444,ZZHCBSHE,08/27/2018,HISPANIC,M,OTHERS,2018
10445,ZZHCEJJJ,08/27/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018
10446,ZZZCRBSJ,08/27/2018,WHITE,M,CRIMINAL POSSESSION OF A PISTOL       DF,2018
10447,ZZSRCRBW,08/27/2018,BLACK,M,INJURY OR RISK OF INJURY TO MINOR      F,2018
10448,ZZHCWJBC,08/27/2018,HISPANIC,M,OTHERS,2018
10449,ZZHECBHB,08/27/2018,BLACK,M,OTHERS,2018
10450,ZZRLCBCB,08/27/2018,WHITE,F,VIOLATION OF PROBATION OR COND DISCHG,2018
10451,ZZSRCRCC,08/27/2018,HISPANIC,M,OTHERS,2018
10452,ZZEHSLHZ,08/27/2018,BLACK,M,OTHERS,2018
10453,ZZHWWLSC,08/27/2018,WHITE,M,OTHERS,2018
10454,ZZRHRECJ,08/27/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018
10455,ZZHWCLJL,08/27/2018,WHITE,M,"BURGLARY, THIRD DEGREE                DF",2018
10456,ZZRHWRHB,08/27/2018,WHITE,M,OTHERS,2018
10457,ZZSRSWLC,08/27/2018,WHITE,F,OTHERS,2018
10458,ZZSRCRBB,08/27/2018,HISPANIC,M,OTHERS,2018
10459,ZZECZZCL,08/27/2018,BLACK,M,OTHERS,2018
10460,ZZSRCRBL,08/27/2018,WHITE,M,OTHERS,2018
10461,ZZSRCRBC,08/27/2018,WHITE,M,OTHERS,2018
10462,ZZSRCRCB,08/27/2018,BLACK,M,OTHERS,2018
10463,ZZRRHHZC,08/27/2018,HISPANIC,M,OTHERS,2018
10464,ZZSRCRCL,08/27/2018,HISPANIC,M,INJURY OR RISK OF INJURY TO MINOR      F,2018
10465,ZZRSCREJ,08/27/2018,WHITE,M,OTHERS,2018
10466,ZZRRRWLR,08/27/2018,WHITE,M,OTHERS,2018
10467,ZZHBZRWJ,08/27/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018
10468,ZZHLRSHS,08/27/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018
10469,ZZSECHEW,08/27/2018,WHITE,M,VIOLATION OF PROBATION OR COND DISCHG,2018
10470,ZZSRCRBR,08/27/2018,BLACK,M,OTHERS,2018
10471,ZZHWCRSC,08/27/2018,HISPANIC,M,VIOLATION OF PROBATION OR COND DISCHG,2018
10472,ZZRJLBCJ,08/27/2018,WHITE,M,OTHERS,2018
10473,ZZRLJZJE,08/27/2018,BLACK,M,OTHERS,2018
10474,ZZSREBBW,08/27/2018,HISPANIC,M,OTHERS,2018
10475,ZZSRRZBR,08/27/2018,WHITE,M,OTHERS,2018
10476,ZZSRZLHJ,08/27/2018,BLACK,M,OTHERS,2018
10477,ZZRCSHEB,08/27/2018,WHITE,F,"ASSAULT, THIRD DEGREE                 AM",2018
10478,ZZHJBSRJ,08/27/2018,HISPANIC,M,OTHERS,2018
10479,ZZRSHSLL,08/27/2018,HISPANIC,M,"FAILURE TO APPEAR, SECOND DEGREE      AM",2018
10480,ZZSRLSWC,08/27/2018,BLACK,M,OTHERS,2018
10481,ZZSZHCRR,08/14/2018,HISPANIC,M,VIOLATION OF PROBATION OR COND DISCHG,2018
10482,ZZSRCRBJ,08/27/2018,WHITE,F,OTHERS,2018
10483,ZZHJECEB,07/25/2018,HISPANIC,M,OTHERS,2018
10484,ZZHBJBWJ,08/27/2018,WHITE,F,VIOLATION OF PROBATION OR COND DISCHG,2018
10485,ZZRRLELJ,08/27/2018,WHITE,F,"FAILURE TO APPEAR, SECOND DEGREE      AM",2018
10486,ZZSRWWJJ,08/27/2018,WHITE,F,"FAILURE TO APPEAR, SECOND DEGREE      AM",2018
10487,ZZHJWESZ,08/27/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018
10488,ZZHBCRJW,08/27/2018,HISPANIC,M,OTHERS,2018
10489,ZZECRWBE,08/27/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018
10490,ZZSRCRJS,08/27/2018,HISPANIC,M,OTHERS,2018
10491,ZZSRCRJW,08/27/2018,HISPANIC,M,OTHERS,2018
10492,ZZSRCRJZ,08/27/2018,WHITE,M,OTHERS,2018
10493,ZZHLZWSH,08/27/2018,HISPANIC,M,OTHERS,2018
10494,ZZHLZWBL,08/27/2018,BLACK,M,OTHERS,2018
10495,ZZHBHHRR,08/27/2018,WHITE,M,OTHERS,2018
10496,ZZZLRCJC,08/27/2018,BLACK,M,OTHERS,2018
10497,ZZSELRWH,08/27/2018,WHITE,M,"FAILURE TO APPEAR, SECOND DEGREE      AM",2018
10498,ZZSRCRCJ,08/27/2018,BLACK,M,OTHERS,2018
10499,ZZHLCSBH,08/27/2018,BLACK,M,OTHERS,2018
10500,ZZREWEEW,08/27/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018
10501,ZZSZLERL,08/27/2018,HISPANIC,M,OTHERS,2018
10502,ZZSRCRBE,08/27/2018,BLACK,M,OTHERS,2018
10503,ZZEJLHBL,08/27/2018,BLACK,M,VIOLATION OF PROBATION OR COND DISCHG,2018
10504,ZZSRCECH,08/27/2018,WHITE,M,OTHERS,2018
10505,ZZSEEBZB,08/27/2018,HISPANIC,M,OTHERS,2018
